dx,xed1,xed2,xed3,xed4,cases
37999,1,0,0,0,2
38010,0.8,0.2,0,0,20
3804,0.8333333333,0.1666666667,0,0,6
38110,1,0,0,0,1
3814,0,1,0,0,1
3829,0.3713080169,0.5907172996,0.0379746835,0,237
38420,0.3333333333,0.6666666667,0,0,3
3849,1,0,0,0,1
38630,0.5,0.5,0,0,2
38810,0,1,0,0,1
38830,1,0,0,0,2
38860,1,0,0,0,1
38869,0.6666666667,0.3333333333,0,0,3
38870,0.8,0.1,0,0.1,10
3888,0,1,0,0,1
3899,1,0,0,0,1
4019,0.6129032258,0.1774193548,0.2096774194,0,62
41091,0,0,0,1,1
4111,0,0,1,0,34
4139,0,0,1,0,9
4149,0,1,0,0,1
42613,0,0,0,1,1
4270,0,0,0,1,1
42731,0,0,0,1,5
4275,0,0,0,1,4
42789,0,0.125,0,0.875,8
4280,0,0.04,0.96,0,25
430,0,0,0,1,1
431,0,0,0,1,1
4359,0,0,0,1,16
4476,1,0,0,0,1
4519,0,1,0,0,1
4538,0,0,0,1,2
4540,0,1,0,0,3
4550,0.6,0.4,0,0,5
4552,0,0.75,0,0.25,4
4590,0,1,0,0,1
45981,0.5,0,0,0.5,2
4599,0,0.6666666667,0,0.3333333333,3
4619,1,0,0,0,1
462,0.6578947368,0.2842105263,0.0578947368,0,190
4640,0.5,0.5,0,0,2
46410,0,1,0,0,1
4644,0.2380952381,0.1904761905,0,0.5714285714,21
46509,0,1,0,0,1
4660,0,0.8225806452,0.1774193548,0,310
46619,0.5,0,0,0.5,2
4720,1,0,0,0,1
4739,0.75,0.15,0,0.1,20
475,0.5,0,0,0.5,2
47803,0,1,0,0,1
4781,0.3333333333,0.6666666667,0,0,6
47829,1,0,0,0,1
485,0.0925925926,0.2407407407,0.6666666667,0,54
4871,0.5,0.25,0,0.25,4
49120,0,1,0,0,2
49121,0,0.5,0.5,0,2
4919,1,0,0,0,1
4928,1,0,0,0,1
493,0,0.0188679245,0.9811320755,0,424
496,0,0.5,0.5,0,10
514,0,0,0,1,1
515,0,0,0,1,1
5183,1,0,0,0,1
5184,0,0,1,0,2
51881,0,0,0,1,1
51882,0,0,0,1,1
51909,0,0,0,1,1
5191,0.3636363636,0.4545454545,0,0.1818181818,11
5198,0.037037037,0.4074074074,0,0.5555555556,27
5199,0.1428571429,0.6428571429,0,0.2142857143,28
5220,0,0.7586206897,0.2413793103,0,29
5224,1,0,0,0,1
5231,0.8333333333,0.1666666667,0,0,12
5244,0,1,0,0,1
5251,1,0,0,0,1
5258,1,0,0,0,1
5259,0.8974358974,0.1025641026,0,0,39
5269,1,0,0,0,1
5280,0.4615384615,0.5384615385,0,0,13
5283,0,1,0,0,1
5285,0.5,0.5,0,0,2
5289,0.8,0.2,0,0,5
5296,1,0,0,0,1
5301,0.25,0.75,0,0,4
5305,0,0,0,1,1
6262,1,0,0,0,1
6264,0.8,0,0,0.2,5
6268,0.6153846154,0.3076923077,0,0.0769230769,13
6271,1,0,0,0,1
6288,1,0,0,0,1
632,0,0.6666666667,0,0.3333333333,3
6339,0,0.5,0,0.5,6
63490,0,0.3333333333,0,0.6666666667,6
6359,1,0,0,0,1
63790,0,0,0,1,2
63791,0,0,0,1,5
6390,0,0,0,1,1
64000,0,0.6666666667,0,0.3333333333,27
64303,0.7272727273,0.0909090909,0,0.1818181818,11
64403,0,0,0,1,1
64410,0,0.3333333333,0,0.6666666667,3
64893,1,0,0,0,1
65813,0,0,0,1,1
6622,1,0,0,0,1
6806,0,0.6666666667,0,0.3333333333,3
6808,1,0,0,0,1
68100,0,0.6428571429,0.3571428571,0,14
682,0,0.661971831,0.338028169,0,71
6851,0,1,0,0,1
6860,1,0,0,0,1
69000,1,0,0,0,2
69010,1,0,0,0,1
6910,0.3333333333,0.6666666667,0,0,3
6918,0.7543859649,0.2105263158,0,0.0350877193,57
69271,1,0,0,0,1
6930,1,0,0,0,2
6931,1,0,0,0,1
6961,1,0,0,0,2
6963,0,1,0,0,1
6981,1,0,0,0,2
6988,1,0,0,0,1
6989,1,0,0,0,4
7030,0.8333333333,0.1666666667,0,0,6
70401,0,1,0,0,1
7048,0,1,0,0,3
7051,1,0,0,0,2
70589,1,0,0,0,1
7061,0,1,0,0,1
7062,0.8181818182,0.1818181818,0,0,11
7063,1,0,0,0,2
7069,0,1,0,0,1
7070,0,1,0,0,1
7071,0.5,0.3333333333,0.1666666667,0,6
7080,0,0.5,0,0.5,2
7083,1,0,0,0,1
7088,1,0,0,0,1
7089,0.875,0.125,0,0,8
7092,1,0,0,0,1
7094,1,0,0,0,1
7098,0,1,0,0,1
7099,0.8333333333,0.1666666667,0,0,6
71598,1,0,0,0,1
71695,0,1,0,0,1
7179,0.5,0.5,0,0,2
71840,1,0,0,0,1
71906,0.6666666667,0.1666666667,0,0.1666666667,6
71907,1,0,0,0,1
71942,0.5,0.5,0,0,2
71944,1,0,0,0,1
71945,1,0,0,0,1
71946,0.75,0.15625,0,0.09375,32
71947,0.6666666667,0.3333333333,0,0,3
71996,1,0,0,0,1
7234,1,0,0,0,2
7235,0.9375,0,0,0.0625,16
7243,0,0.3333333333,0,0.6666666667,3
7244,1,0,0,0,1
7248,0.7361111111,0.1527777778,0,0.1111111111,72
7265,0,1,0,0,1
72664,0,1,0,0,2
72679,1,0,0,0,1
72690,1,0,0,0,2
72691,1,0,0,0,1
72705,1,0,0,0,1
72743,0.5,0.5,0,0,2
72885,0.6666666667,0,0,0.3333333333,15
7291,0.6282051282,0.2564102564,0,0.1153846154,78
7293,1,0,0,0,1
7295,0.7083333333,0.1666666667,0,0.125,24
7296,1,0,0,0,1
72981,0.6,0.2,0,0.2,5
73026,0,0,0,1,1
7324,1,0,0,0,1
7329,0.2222222222,0.6666666667,0,0.1111111111,18
7336,0.2,0.4,0,0.4,5
73730,1,0,0,0,2
7714,1,0,0,0,1
7729,0,1,0,0,1
77439,1,0,0,0,1
7746,0,0,0,1,1
78009,0,0,0,1,3
7801,0,0,0,1,1
7802,0,0.3333333333,0,0.6666666667,30
78039,0,0.25,0.75,0,48
7804,0.72,0.2,0,0.08,25
78050,0.5,0.25,0,0.25,4
7806,0.431372549,0.3725490196,0,0.1960784314,51
7807,0.6363636364,0.1818181818,0,0.1818181818,11
7809,0.2926829268,0.0487804878,0,0.6585365854,41
7810,0,0.3333333333,0,0.6666666667,3
7811,0,0,0,1,1
7820,1,0,0,0,5
7822,0.6666666667,0.3333333333,0,0,3
7824,0.5,0,0,0.5,2
7827,1,0,0,0,1
7828,0,1,0,0,1
7830,0.5,0,0,0.5,2
7836,0.6666666667,0.3333333333,0,0,3
7840,0.7792207792,0.0909090909,0,0.1298701299,77
7842,0,0.75,0,0.25,8
78441,0,1,0,0,1
7847,0,0.7857142857,0,0.2142857143,14
7849,0,0.5,0,0.5,2
7850,0,0,0,1,1
7851,0,0.4444444444,0,0.5555555556,9
7852,0,1,0,0,1
7856,0.5,0.5,0,0,6
78605,0,0.4,0,0.6,5
78609,0,0.6129032258,0,0.3870967742,31
7862,0.6470588235,0.2352941176,0,0.1176470588,17
7863,0,0,0,1,1
78650,0,0.323943662,0,0.676056338,71
78651,0,1,0,0,2
78652,0,0.8235294118,0,0.1764705882,17
78659,0,0.6111111111,0,0.3888888889,18
7870,0.5882352941,0.2352941176,0,0.1764705882,17
7871,0,1,0,0,1
7872,0,1,0,0,2
7873,0.6666666667,0.3333333333,0,0,3
7877,0,0,0,1,1
78791,0.5,0.5,0,0,4
78799,1,0,0,0,1
7881,0.6666666667,0.3333333333,0,0,3
7884,0.6666666667,0.3333333333,0,0,3
7890,0,0.6697247706,0,0.3302752294,109
7891,1,0,0,0,1
7893,0,1,0,0,1
78930,0,1,0,0,1
7906,0,0,0,1,3
7951,1,0,0,0,1
7953,1,0,0,0,1
7955,1,0,0,0,10
7964,0,1,0,0,2
9689,0,1,0,0,2
9691,0,0.5,0,0.5,2
9734,0,0,0,1,1
9760,0,1,0,0,1
9778,0,0,0,1,2
9779,0,0.4444444444,0,0.5555555556,9
9809,0,0,0,1,2
9839,0,1,0,0,1
9849,0,1,0,0,1
986,0,0,0,1,1
9879,0,0.3333333333,0,0.6666666667,3
9882,0,1,0,0,1
9894,0,1,0,0,1
9895,0,1,0,0,3
9898,0,1,0,0,1
9919,0,1,0,0,1
9925,0,0.5,0,0.5,2
